[SPEAKER] [SYSTEM] [i] [WER] S:[numSubstitutions], I:[numInsertions], D:[numDeletions]
S-10B Kaldi 1 14.444444444444445 S:25, I:4, D:10
S-10B Kaldi 2 16.614420062695924 S:32, I:3, D:18
S-10B Kaldi 3 19.52054794520548 S:38, I:4, D:15
S-10B Kaldi 4 15.825688073394495 S:42, I:5, D:22
S-10B Kaldi 5 15.296803652968036 S:39, I:13, D:15
S-10B Kaldi 6 18.633540372670808 S:13, I:2, D:15
S-10B Kaldi 7 16.23931623931624 S:19, I:0, D:19
S-10B Kaldi 8 17.46031746031746 S:24, I:5, D:15
S-19C Google 0 51.578947368421055 S:63, I:1, D:34
S-19C Google 1 62.19512195121951 S:10, I:0, D:41
S-19C Google 2 46.15384615384615 S:51, I:3, D:48
S-19C Google 3 60.36036036036036 S:28, I:6, D:33
S-19C Google 4 50.79365079365079 S:70, I:3, D:55
S-19C Google 5 58.21917808219178 S:36, I:8, D:41
S-19C Google 6 43.529411764705884 S:18, I:4, D:15
S-19C Google 7 35.59322033898305 S:15, I:1, D:5
S-19C Google 8 29.6875 S:11, I:0, D:8
S-19C Google 9 48.648648648648646 S:18, I:0, D:18
S-19C Google 10 43.333333333333336 S:5, I:0, D:8
S-19C Google 11 57.69230769230769 S:18, I:1, D:11
S-19C Kaldi 0 41.578947368421055 S:31, I:29, D:19
S-19C Kaldi 1 53.65853658536585 S:22, I:7, D:15
S-19C Kaldi 2 28.506787330316744 S:30, I:10, D:23
S-19C Kaldi 3 44.14414414414414 S:28, I:6, D:15
S-19C Kaldi 4 31.349206349206348 S:44, I:7, D:28
S-19C Kaldi 5 45.89041095890411 S:37, I:12, D:18
S-19C Kaldi 6 41.1764705882353 S:13, I:14, D:8
S-19C Kaldi 7 40.67796610169491 S:13, I:8, D:3
S-19C Kaldi 8 20.3125 S:10, I:1, D:2
S-19C Kaldi 9 43.24324324324324 S:16, I:3, D:13
S-19C Kaldi 10 16.666666666666668 S:3, I:1, D:1
S-19C Kaldi 11 63.46153846153846 S:16, I:7, D:10
S-11C Google 0 24.193548387096776 S:18, I:2, D:25
S-11C Google 1 35.46099290780142 S:19, I:0, D:31
S-11C Google 2 23.61111111111111 S:54, I:0, D:31
S-11C Google 3 24.869109947643977 S:37, I:0, D:58
S-11C Google 4 21.645796064400717 S:68, I:5, D:48
S-11C Google 5 20.792079207920793 S:53, I:5, D:47
S-11C Google 6 26.21359223300971 S:30, I:1, D:23
S-11C Google 7 23.88663967611336 S:35, I:2, D:22
S-11C Google 8 24.0 S:13, I:1, D:10
S-11C Kaldi 0 14.516129032258064 S:18, I:6, D:3
S-11C Kaldi 1 21.27659574468085 S:12, I:11, D:7
S-11C Kaldi 2 16.11111111111111 S:34, I:7, D:17
S-11C Kaldi 3 18.06282722513089 S:35, I:7, D:27
S-11C Kaldi 4 9.123434704830053 S:26, I:4, D:21
S-11C Kaldi 5 9.900990099009901 S:19, I:11, D:20
S-11C Kaldi 6 17.475728155339805 S:18, I:6, D:12
S-11C Kaldi 7 11.336032388663968 S:13, I:4, D:11
S-11C Kaldi 8 17.0 S:9, I:6, D:2
S-18B Google 0 33.460076045627375 S:43, I:1, D:44
S-18B Google 1 30.59360730593607 S:25, I:3, D:39
S-18B Google 2 37.34939759036145 S:27, I:5, D:30
S-18B Google 3 37.71186440677966 S:43, I:4, D:42
S-18B Google 4 28.30188679245283 S:33, I:3, D:39
S-18B Google 5 29.285714285714285 S:34, I:3, D:45
S-18B Google 6 25.225225225225227 S:16, I:1, D:11
S-18B Google 7 29.842931937172775 S:34, I:7, D:16
S-18B Google 8 43.58974358974359 S:8, I:0, D:9
S-18B Google 9 100.0 S:4, I:3, D:2
S-18B Google 10 23.076923076923077 S:8, I:0, D:7
S-18B Google 11 34.22818791946309 S:31, I:4, D:16
S-18B Kaldi 0 25.85551330798479 S:27, I:28, D:13
S-18B Kaldi 1 18.264840182648403 S:14, I:15, D:11
S-18B Kaldi 2 20.481927710843372 S:23, I:9, D:2
S-18B Kaldi 3 21.610169491525422 S:26, I:15, D:10
S-18B Kaldi 4 23.77358490566038 S:25, I:15, D:23
S-18B Kaldi 5 13.571428571428571 S:19, I:8, D:11
S-18B Kaldi 6 15.315315315315315 S:4, I:5, D:8
S-18B Kaldi 7 18.32460732984293 S:13, I:10, D:12
